"","A","B","RT_TYPE","DIRV_AM","DIRV_PM","A_subareaRP","B_subareaRP","scenario"
"297",709158,710369,3,4444.70264,4680.20068,0,4,"tp3_c_2050_121520"
"298",709631,713731,1,19358.23242,15266.71289,0,2,"tp3_c_2050_121520"
"299",710320,710990,3,5649.98145,4808.89648,0,4,"tp3_c_2050_121520"
"300",710369,709158,3,4602.04541,5342.68164,4,0,"tp3_c_2050_121520"
"301",710966,710320,3,4241.31006,5907.5835,4,0,"tp3_c_2050_121520"
"302",711306,711684,3,5726.15039,3761.875,0,1,"tp3_c_2050_121520"
"303",711499,711535,8,1530.57153,1551.96289,0,4,"tp3_c_2050_121520"
"304",711535,711499,8,1432.15869,1791.45728,4,0,"tp3_c_2050_121520"
"305",711814,711306,3,2536.72559,5426.69434,1,0,"tp3_c_2050_121520"
"306",713723,713971,6,1948.81262,1119.4342,0,1,"tp3_c_2050_121520"
"307",713749,715511,8,932.34576,999.25989,0,2,"tp3_c_2050_121520"
"308",713971,713723,6,702.32349,1846.71008,1,0,"tp3_c_2050_121520"
"309",714045,333,99,425.26962,979.63043,1,0,"tp3_c_2050_121520"
"310",714063,714335,7,466.0217,639.45782,4,0,"tp3_c_2050_121520"
"311",714335,714063,7,786.6972,760.87958,0,4,"tp3_c_2050_121520"
"312",714335,717024,6,642.6261,543.69989,0,5,"tp3_c_2050_121520"
"313",715511,713749,8,1156.09351,1004.23212,2,0,"tp3_c_2050_121520"
"314",715511,717143,6,249.356,842.72778,2,0,"tp3_c_2050_121520"
"315",717024,714335,6,372.65283,832.59546,5,0,"tp3_c_2050_121520"
"316",717137,709650,1,11555.09082,20762.26758,1,0,"tp3_c_2050_121520"
"317",717143,715511,6,955.63116,416.74637,0,2,"tp3_c_2050_121520"
"318",718467,718620,6,1528.3916,1410.0354,5,0,"tp3_c_2050_121520"
"319",718620,718467,6,1282.04614,1567.41394,0,5,"tp3_c_2050_121520"
"320",720928,721585,3,5556,6375.27344,0,5,"tp3_c_2050_121520"
"321",721585,720928,3,6089.64355,7092.33496,5,0,"tp3_c_2050_121520"
"322",721737,779011,3,8601.62891,5932.67676,5,0,"tp3_c_2050_121520"
"323",722118,722193,8,1406.85522,4623.75879,2,0,"tp3_c_2050_121520"
"324",722193,722118,8,5125.08154,2635.34741,0,2,"tp3_c_2050_121520"
"325",722261,721615,3,4403.1875,9478.36328,0,5,"tp3_c_2050_121520"
"326",722735,724032,2,4462.91162,4809.26563,3,0,"tp3_c_2050_121520"
"327",722834,723129,1,4449.13184,13962.50879,2,0,"tp3_c_2050_121520"
"328",722843,139,99,965.85547,924.849,5,0,"tp3_c_2050_121520"
"329",723183,722882,1,14384.17285,6776.32275,0,2,"tp3_c_2050_121520"
"330",723650,724606,3,5665.39355,3807.8562,5,0,"tp3_c_2050_121520"
"331",724032,722735,2,4383.38574,5938.27051,0,3,"tp3_c_2050_121520"
"332",724456,728525,1,28803.5957,23435.35547,3,0,"tp3_c_2050_121520"
"333",724552,723472,3,2428.40234,5898.94336,0,5,"tp3_c_2050_121520"
"334",726744,727320,6,1266.68066,1139.58105,3,0,"tp3_c_2050_121520"
"335",727320,726744,6,911.91309,1434.84888,0,3,"tp3_c_2050_121520"
"336",730515,724742,1,19854.25391,29078.11914,0,3,"tp3_c_2050_121520"
